t;x;y;z
1.27;0.26;-0.06;0.55
1.28;0.27;-0.09;0.45
1.29;0.27;-0.13;0.36
1.30;0.27;-0.16;0.30
1.31;0.32;-0.17;0.21
1.32;0.34;-0.19;0.14
1.33;0.36;-0.22;0.06
1.34;0.41;-0.24;-0.01
1.35;0.46;-0.26;-0.07
1.36;0.51;-0.28;-0.14
1.37;0.55;-0.30;-0.21
1.38;0.58;-0.32;-0.23
1.39;0.62;-0.34;-0.26
1.40;0.66;-0.35;-0.29
1.41;0.68;-0.37;-0.29
1.42;0.70;-0.39;-0.26
1.43;0.72;-0.40;-0.22
1.44;0.72;-0.41;-0.18
1.45;0.70;-0.40;-0.11
1.46;0.66;-0.38;-0.02
1.47;0.58;-0.36;0.07
1.48;0.49;-0.32;0.19
1.49;0.39;-0.28;0.32
1.50;0.30;-0.25;0.44
1.51;0.19;-0.21;0.51
1.52;0.10;-0.18;0.52
1.53;0.01;-0.16;0.51
1.54;-0.09;-0.14;0.52
1.55;-0.17;-0.12;0.54
1.56;-0.25;-0.11;0.55
1.57;-0.31;-0.09;0.53
1.58;-0.37;-0.08;0.50
1.59;-0.41;-0.07;0.46
1.60;-0.43;-0.08;0.44
1.61;-0.46;-0.06;0.38
1.62;-0.47;-0.05;0.33
1.63;-0.48;-0.04;0.28
1.64;-0.49;-0.04;0.25
1.65;-0.49;-0.02;0.19
1.66;-0.50;-0.00;0.14
1.67;-0.50;0.01;0.10
1.68;-0.51;0.04;0.07
1.69;-0.51;0.07;0.04
1.70;-0.52;0.10;0.02
1.71;-0.53;0.13;-0.01
1.72;-0.54;0.16;-0.05
1.73;-0.57;0.19;-0.06
1.74;-0.59;0.24;-0.07
1.75;-0.61;0.28;-0.08
1.76;-0.65;0.31;-0.09
1.77;-0.67;0.36;-0.12
1.78;-0.71;0.37;-0.11
1.79;-0.72;0.41;-0.12
1.80;-0.73;0.44;-0.12
1.81;-0.74;0.46;-0.12
1.82;-0.76;0.50;-0.14
1.83;-0.76;0.53;-0.17
1.84;-0.77;0.56;-0.19
1.85;-0.78;0.60;-0.21
1.86;-0.78;0.63;-0.24
1.87;-0.78;0.66;-0.25
1.88;-0.78;0.68;-0.25
1.89;-0.79;0.69;-0.24
1.90;-0.80;0.72;-0.24
1.91;-0.80;0.74;-0.22
1.92;-0.80;0.74;-0.20
1.93;-0.81;0.74;-0.18
1.94;-0.83;0.74;-0.14
1.95;-0.81;0.74;-0.11
1.96;-0.80;0.74;-0.10
1.97;-0.81;0.72;-0.07
1.98;-0.81;0.71;-0.03
1.99;-0.79;0.70;0.03
2.00;-0.78;0.67;0.07
2.01;-0.77;0.65;0.12
2.02;-0.75;0.62;0.19
2.03;-0.72;0.59;0.25
2.04;-0.71;0.55;0.27
2.05;-0.67;0.51;0.30
2.06;-0.61;0.47;0.36
2.07;-0.55;0.43;0.39
2.08;-0.46;0.38;0.38
2.09;-0.38;0.32;0.38
2.10;-0.30;0.26;0.39
2.11;-0.19;0.20;0.36
2.12;-0.11;0.15;0.33
2.13;-0.04;0.10;0.32
2.14;0.03;0.05;0.30
2.15;0.11;0.00;0.27
2.16;0.19;-0.02;0.25
2.17;0.27;-0.04;0.21
2.18;0.31;-0.08;0.18
2.19;0.35;-0.12;0.15
2.20;0.44;-0.13;0.10
2.21;0.51;-0.15;0.08
2.22;0.56;-0.17;0.06
2.23;0.57;-0.18;0.05
2.24;0.55;-0.17;0.01
2.25;0.53;-0.17;-0.10
2.26;0.55;-0.18;-0.21
2.27;0.52;-0.18;-0.24
2.28;0.44;-0.17;-0.30
2.29;0.41;-0.15;-0.43
2.30;0.41;-0.16;-0.52
2.31;0.40;-0.16;-0.56
2.32;0.33;-0.11;-0.59
2.33;0.27;-0.08;-0.69
2.34;0.24;-0.07;-0.77
2.35;0.20;-0.04;-0.81
2.36;0.14;-0.02;-0.85
2.37;0.10;-0.02;-0.89
2.38;0.09;0.01;-0.93
2.39;0.10;0.03;-0.96
2.40;0.11;0.04;-0.97
2.41;0.14;0.04;-0.96
2.42;0.18;0.03;-0.94
2.43;0.23;0.01;-0.92
2.44;0.27;-0.02;-0.90
2.45;0.31;-0.04;-0.86
2.46;0.32;-0.04;-0.79
2.47;0.34;-0.07;-0.69
2.48;0.33;-0.10;-0.58
2.49;0.31;-0.11;-0.48
2.50;0.25;-0.12;-0.38
2.51;0.16;-0.11;-0.28
2.52;0.09;-0.10;-0.16
2.53;0.03;-0.09;-0.04
2.54;-0.04;-0.07;0.04
2.55;-0.11;-0.06;0.09
2.56;-0.17;-0.04;0.13
2.57;-0.23;-0.03;0.18
2.58;-0.29;-0.01;0.21
2.59;-0.34;0.01;0.23
2.60;-0.38;0.02;0.24
2.61;-0.42;0.03;0.24
2.62;-0.46;0.06;0.23
2.63;-0.49;0.08;0.21
2.64;-0.52;0.10;0.21
2.65;-0.55;0.13;0.19
2.66;-0.57;0.15;0.16
2.67;-0.59;0.17;0.16
2.68;-0.62;0.19;0.17
2.69;-0.65;0.22;0.17
2.70;-0.68;0.24;0.16
2.71;-0.69;0.27;0.18
2.72;-0.69;0.28;0.23
2.73;-0.75;0.30;0.30
2.74;-0.76;0.32;0.32
2.75;-0.75;0.33;0.34
2.76;-0.73;0.34;0.38
2.77;-0.75;0.33;0.43
2.78;-0.73;0.35;0.52
2.79;-0.70;0.34;0.60
2.80;-0.68;0.33;0.63
2.81;-0.63;0.31;0.67
2.82;-0.60;0.31;0.75
2.83;-0.57;0.29;0.80
2.84;-0.55;0.27;0.84
2.85;-0.53;0.24;0.86
2.86;-0.49;0.21;0.89
2.87;-0.46;0.17;0.91
2.88;-0.44;0.13;0.90
2.89;-0.40;0.09;0.90
2.90;-0.36;0.05;0.92
2.91;-0.33;0.02;0.94
2.92;-0.29;-0.01;0.96
2.93;-0.27;-0.04;0.98
2.94;-0.22;-0.06;0.99
2.95;-0.18;-0.08;0.96
2.96;-0.13;-0.10;0.89
2.97;-0.08;-0.12;0.80
2.98;-0.01;-0.16;0.73
2.99;0.05;-0.18;0.66
3.00;0.09;-0.19;0.60
3.01;0.15;-0.21;0.54
3.02;0.22;-0.22;0.48
3.03;0.29;-0.23;0.42
3.04;0.34;-0.24;0.35
3.05;0.39;-0.25;0.28
3.06;0.44;-0.26;0.22
3.07;0.48;-0.26;0.18
3.08;0.51;-0.26;0.14
3.09;0.55;-0.26;0.09
3.10;0.59;-0.25;0.06
3.11;0.62;-0.25;0.04
3.12;0.66;-0.25;0.02
3.13;0.69;-0.24;-0.01
3.14;0.73;-0.23;-0.04
3.15;0.77;-0.23;-0.07
3.16;0.81;-0.23;-0.08
3.17;0.85;-0.22;-0.10
3.18;0.89;-0.22;-0.12
3.19;0.81;-0.20;-0.11
3.20;0.85;-0.20;-0.13
3.21;0.88;-0.19;-0.13
3.22;0.91;-0.19;-0.12
3.23;0.93;-0.19;-0.12
3.24;0.93;-0.19;-0.12
3.25;0.94;-0.19;-0.12
3.26;0.95;-0.19;-0.11
3.27;0.95;-0.19;-0.10
3.28;0.94;-0.19;-0.09
3.29;0.94;-0.19;-0.09
3.30;0.92;-0.19;-0.08
3.31;0.91;-0.18;-0.08
3.32;0.90;-0.18;-0.07
3.33;0.89;-0.17;-0.07
3.34;0.87;-0.17;-0.06
3.35;0.86;-0.17;-0.05
3.36;0.84;-0.16;-0.04
3.37;0.83;-0.16;-0.02
3.38;0.82;-0.16;-0.02
3.39;0.81;-0.16;-0.01
3.40;0.80;-0.16;-0.01
3.41;0.80;-0.15;-0.01
3.42;0.81;-0.15;-0.01
3.43;0.81;-0.15;-0.01
3.44;0.82;-0.15;-0.01
3.45;0.83;-0.14;-0.01
3.46;0.84;-0.14;-0.02
3.47;0.85;-0.13;-0.02
3.48;0.86;-0.12;-0.03
3.49;0.88;-0.11;-0.03
3.50;0.89;-0.09;-0.04
3.51;0.92;-0.08;-0.05
3.52;0.94;-0.07;-0.06
3.53;0.99;-0.05;-0.06
3.54;1.04;-0.03;-0.06
3.55;1.09;-0.01;-0.07
3.56;1.14;0.00;-0.07
3.57;1.18;0.01;-0.08
3.58;1.21;0.02;-0.08
3.59;1.23;0.03;-0.08
3.60;1.24;0.04;-0.08
3.61;1.25;0.04;-0.08
3.62;1.25;0.04;-0.07
3.63;1.24;0.04;-0.06
3.64;1.22;0.04;-0.05
3.65;1.19;0.03;-0.05
3.66;1.16;0.02;-0.04
3.67;1.13;0.01;-0.02
3.68;1.10;-0.00;-0.01
3.69;1.06;-0.01;-0.00
3.70;1.01;-0.02;-0.02
3.71;0.96;-0.03;-0.02
3.72;0.92;-0.04;-0.01
3.73;0.88;-0.04;0.01
3.74;0.84;-0.06;0.01
3.75;0.80;-0.07;0.02
3.76;0.78;-0.08;0.03
3.77;0.76;-0.09;0.05
3.78;0.75;-0.10;0.05
3.79;0.75;-0.11;0.06
3.80;0.76;-0.11;0.06
3.81;0.77;-0.12;0.06
3.82;0.78;-0.12;0.06
3.83;0.78;-0.12;0.07
3.84;0.79;-0.12;0.05
3.85;0.83;-0.11;0.04
3.86;0.86;-0.10;0.04
3.87;0.89;-0.09;0.03
3.88;0.94;-0.07;0.01
3.89;0.98;-0.04;0.00
3.90;1.02;-0.02;-0.00
3.91;1.05;0.00;-0.00
3.92;1.07;0.02;-0.01
3.93;1.10;0.04;-0.00
3.94;1.13;0.05;0.01
3.95;1.14;0.05;0.04
3.96;1.15;0.04;0.06
3.97;1.16;0.03;0.08
3.98;1.16;0.01;0.09
3.99;1.16;0.00;0.08
4.00;1.16;-0.03;0.08
4.01;1.15;-0.06;0.07
4.02;1.14;-0.09;0.05
4.03;1.12;-0.12;0.02
4.04;1.09;-0.15;-0.01
4.05;1.07;-0.18;-0.03
4.06;1.05;-0.21;-0.05
4.07;1.03;-0.23;-0.08
4.08;1.01;-0.24;-0.10
4.09;0.99;-0.24;-0.12
4.10;0.97;-0.25;-0.15
4.11;0.96;-0.24;-0.17
4.12;0.95;-0.23;-0.19
4.13;0.95;-0.21;-0.21
4.14;0.95;-0.19;-0.21
4.15;0.95;-0.17;-0.22
4.16;0.95;-0.15;-0.22
4.17;0.95;-0.12;-0.20
4.18;0.95;-0.09;-0.18
4.19;0.95;-0.06;-0.14
4.20;0.94;-0.04;-0.11
4.21;0.96;-0.00;-0.08
4.22;0.96;0.03;-0.05
4.23;0.96;0.05;-0.01
4.24;0.97;0.07;0.03
4.25;0.97;0.08;0.09
4.26;0.97;0.09;0.15
4.27;0.97;0.10;0.19
4.28;0.98;0.10;0.21
4.29;0.98;0.11;0.23
4.30;0.98;0.11;0.26
4.31;0.98;0.10;0.28
4.32;0.98;0.10;0.30
4.33;0.99;0.10;0.33
4.34;0.99;0.08;0.36
4.35;0.98;0.07;0.39
4.36;0.98;0.06;0.39
4.37;0.98;0.03;0.40
4.38;0.97;0.01;0.41
4.39;0.98;-0.03;0.41
4.40;0.99;-0.06;0.41
4.41;1.00;-0.09;0.40
4.42;1.01;-0.13;0.37
4.43;1.02;-0.16;0.35
4.44;1.03;-0.19;0.33
4.45;1.03;-0.21;0.32
4.46;1.03;-0.23;0.30
4.47;1.04;-0.23;0.26
4.48;1.03;-0.24;0.24
4.49;1.03;-0.24;0.23
4.50;1.03;-0.22;0.20
4.51;1.03;-0.20;0.16
4.52;1.04;-0.17;0.13
4.53;1.05;-0.14;0.12
4.54;1.05;-0.10;0.10
4.55;1.06;-0.05;0.09
4.56;1.06;-0.02;0.10
4.57;1.05;0.02;0.11
4.58;1.04;0.06;0.13
4.59;1.02;0.09;0.14
4.60;0.98;0.12;0.16
4.61;0.94;0.15;0.19
4.62;0.88;0.16;0.23
4.63;0.81;0.18;0.27
4.64;0.72;0.21;0.31
4.65;0.59;0.22;0.36
4.66;0.46;0.23;0.43
4.67;0.33;0.25;0.49
4.68;0.19;0.27;0.53
4.69;0.07;0.30;0.53
4.70;-0.04;0.32;0.50
4.71;-0.15;0.33;0.47
4.72;-0.26;0.34;0.43
4.73;-0.34;0.35;0.41
4.74;-0.42;0.35;0.38
4.75;-0.48;0.34;0.38
4.76;-0.55;0.31;0.37
4.77;-0.62;0.29;0.33
4.78;-0.67;0.26;0.30
4.79;-0.71;0.22;0.29
4.80;-0.73;0.18;0.26
4.81;-0.74;0.12;0.24
4.82;-0.75;0.07;0.26
4.83;-0.77;0.03;0.26
4.84;-0.77;-0.02;0.25
4.85;-0.76;-0.06;0.23
4.86;-0.75;-0.11;0.23
4.87;-0.75;-0.16;0.25
4.88;-0.72;-0.20;0.27
4.89;-0.69;-0.24;0.28
4.90;-0.65;-0.28;0.32
4.91;-0.61;-0.31;0.36
4.92;-0.57;-0.34;0.40
4.93;-0.53;-0.36;0.46
4.94;-0.49;-0.36;0.51
4.95;-0.46;-0.37;0.54
4.96;-0.44;-0.36;0.57
4.97;-0.41;-0.33;0.62
4.98;-0.38;-0.29;0.69
4.99;-0.38;-0.25;0.72
5.00;-0.36;-0.19;0.74
5.01;-0.34;-0.13;0.80
5.02;-0.32;-0.07;0.85
5.03;-0.35;-0.03;0.86
5.04;-0.34;0.03;0.88
5.05;-0.35;0.07;0.92
5.06;-0.37;0.11;0.94
5.07;-0.38;0.15;0.94
5.08;-0.39;0.19;0.93
5.09;-0.40;0.21;0.93
5.10;-0.41;0.23;0.93
5.11;-0.42;0.25;0.91
5.12;-0.44;0.25;0.91
5.13;-0.45;0.26;0.90
5.14;-0.46;0.25;0.88
5.15;-0.48;0.24;0.87
5.16;-0.50;0.21;0.88
5.17;-0.51;0.20;0.89
5.18;-0.53;0.18;0.88
5.19;-0.54;0.15;0.87
5.20;-0.54;0.12;0.87
5.21;-0.53;0.09;0.88
5.22;-0.53;0.05;0.89
5.23;-0.51;0.02;0.89
5.24;-0.49;-0.01;0.89
5.25;-0.47;-0.05;0.91
5.26;-0.45;-0.09;0.92
5.27;-0.43;-0.11;0.92
5.28;-0.39;-0.13;0.93
5.29;-0.37;-0.16;0.96
5.30;-0.33;-0.19;0.96
5.31;-0.31;-0.20;0.98
5.32;-0.30;-0.21;1.01
5.33;-0.28;-0.23;1.03
5.34;-0.25;-0.23;1.04
5.35;-0.23;-0.21;1.06
5.36;-0.20;-0.19;1.07
5.37;-0.17;-0.16;1.06
5.38;-0.15;-0.12;1.06
5.39;-0.13;-0.08;1.06
5.40;-0.12;-0.03;1.06
5.41;-0.12;0.01;1.07
5.42;-0.13;0.06;1.09
5.43;-0.16;0.11;1.10
5.44;-0.18;0.15;1.10
5.45;-0.22;0.19;1.12
5.46;-0.25;0.21;1.13
5.47;-0.27;0.22;1.13
5.48;-0.28;0.22;1.13
5.49;-0.30;0.21;1.12
5.50;-0.31;0.19;1.11
5.51;-0.33;0.18;1.10
5.52;-0.33;0.15;1.09
5.53;-0.33;0.13;1.09
5.54;-0.30;0.11;1.12
5.55;-0.29;0.09;1.11
5.56;-0.26;0.07;1.10
5.57;-0.22;0.04;1.08
5.58;-0.20;0.03;1.07
5.59;-0.18;0.01;1.08
5.60;-0.15;0.00;1.09
5.61;-0.13;-0.01;1.08
5.62;-0.11;-0.02;1.08
5.63;-0.09;-0.03;1.08
5.64;-0.07;-0.03;1.08
5.65;-0.06;-0.03;1.07
5.66;-0.05;-0.02;1.07
5.67;-0.03;-0.00;1.07
5.68;-0.02;0.01;1.08
5.69;-0.01;0.03;1.09
5.70;0.01;0.06;1.09
5.71;0.01;0.09;1.08
5.72;0.00;0.12;1.08
5.73;-0.01;0.14;1.09
5.74;-0.03;0.16;1.10
5.75;-0.06;0.19;1.10
5.76;-0.08;0.22;1.11
5.77;-0.11;0.24;1.12
5.78;-0.14;0.25;1.13
5.79;-0.17;0.25;1.14
5.80;-0.20;0.24;1.14
5.81;-0.23;0.21;1.13
5.82;-0.26;0.19;1.13
5.83;-0.27;0.17;1.13
5.84;-0.27;0.13;1.14
5.85;-0.27;0.11;1.13
5.86;-0.26;0.08;1.12
5.87;-0.24;0.05;1.12
5.88;-0.22;0.03;1.10
5.89;-0.19;0.01;1.06
5.90;-0.16;-0.01;1.05
5.91;-0.13;-0.03;1.06
5.92;-0.10;-0.04;1.06
5.93;-0.07;-0.05;1.06
5.94;-0.05;-0.05;1.08
5.95;-0.04;-0.06;1.08
5.96;-0.03;-0.05;1.08
5.97;-0.02;-0.05;1.07
5.98;-0.02;-0.04;1.08
5.99;-0.01;-0.02;1.08
6.00;-0.01;-0.00;1.08
6.01;-0.02;0.02;1.10
6.02;-0.03;0.05;1.09
6.03;-0.04;0.08;1.10
6.04;-0.05;0.10;1.11
6.05;-0.06;0.12;1.11
6.06;-0.08;0.14;1.10
6.07;-0.10;0.16;1.10
6.08;-0.12;0.17;1.11
6.09;-0.14;0.18;1.11
6.10;-0.15;0.17;1.12
6.11;-0.17;0.16;1.13
6.12;-0.19;0.14;1.12
6.13;-0.21;0.13;1.12
6.14;-0.23;0.11;1.11
6.15;-0.24;0.10;1.11
6.16;-0.24;0.08;1.11
6.17;-0.24;0.06;1.11
